Dataset,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,avgAccu,avgTrainTime,avgTestTime
UWaveGestureLibraryY,0.755164712,0.75572306,0.756839754,0.757118928,0.760469012,0.756002233,0.761027359,0.757956449,0.759352317,0.754885539,0.757453936,29.89058263,18.25196643
UWaveGestureLibraryZ,0.767448353,0.765214964,0.769123395,0.76493579,0.768285874,0.768844221,0.766052485,0.769123395,0.768285874,0.773869347,0.76811837,28.80219184,16.21140067
Wafer,0.999837768,0.999837768,0.999837768,0.999026606,0.999837768,0.999837768,1,0.999837768,0.999188838,0.999837768,0.999707982,16.76597754,4.85589685
Wine,0.833333333,0.703703704,0.796296296,0.722222222,0.796296296,0.814814815,0.759259259,0.777777778,0.796296296,0.777777778,0.777777778,2.897799755,0.140042923
WordSynonyms,0.645768025,0.652037618,0.655172414,0.645768025,0.652037618,0.656739812,0.663009404,0.655172414,0.655172414,0.65830721,0.653918495,13.20155155,2.633868971
Worms,0.805194805,0.818181818,0.818181818,0.792207792,0.779220779,0.779220779,0.766233766,0.779220779,0.779220779,0.805194805,0.792207792,11.1977358,0.792339025
WormsTwoClass,0.792207792,0.818181818,0.818181818,0.818181818,0.844155844,0.805194805,0.792207792,0.779220779,0.792207792,0.792207792,0.805194805,8.978752926,0.614044971
Yoga,0.851,0.851,0.851333333,0.856,0.860666667,0.852333333,0.861,0.858333333,0.860333333,0.856666667,0.855866667,9.054028646,10.91537077
,,,,,,,,,,,,,
,,,,,,,,,,,,,
